site,year,period,replicate,ncolonies,prev_bleached,prev_verypale,prev_anybleaching,prev_nobleaching
Hind Bank East FSA,2023,Annual,3.5,11.833333333333334,1.6666666666666667,0,1.6666666666666667,98.33333333333333
Hind Bank East FSA,2024,Annual,3.5,16,0,0,0,100
Hind Bank East FSA,2024,PBL,3,10,0,0,0,100
Hind Bank East FSA,2025,PBL,3.5,10.666666666666666,0,0,0,100
Jacks Bay,2022,Annual,3.5,15.5,1.0416666666666665,0,1.0416666666666665,98.95833333333333
Jacks Bay,2023,Annual,3.5,24.333333333333332,1.8518518518518516,0.980392156862745,2.832244008714597,97.1677559912854
Jacks Bay,2024,Annual,3.5,18.166666666666668,2.222222222222222,0,2.222222222222222,97.77777777777779
Jacks Bay,2024,PBL,3.5,11.833333333333334,0,0,0,100
Jacks Bay,2025,PBL,3.5,23.166666666666668,0,1.5467171717171717,1.5467171717171717,98.45328282828284
Kings Corner,2022,Annual,3.5,10.666666666666666,1.6666666666666667,0,1.6666666666666667,98.33333333333333
Kings Corner,2023,Annual,3.5,13.833333333333334,2.083333333333333,0,2.083333333333333,97.91666666666667
Kings Corner,2024,Annual,3.5,13.5,10.173160173160182,0,10.173160173160182,89.82683982683982
Kings Corner,2024,PBL,3.5,10.166666666666666,0,0,0,100
Kings Corner,2025,PBL,3.5,17.5,0,0,0,100
Lang Bank EEMP,2022,Annual,3.5,13.833333333333334,0,0,0,100
Lang Bank EEMP,2023,Annual,3.5,12.666666666666666,6.617063492063495,0,6.617063492063495,93.3829365079365
Lang Bank EEMP,2024,Annual,3.5,16,1.9883040935672516,0,1.9883040935672516,98.01169590643275
Lang Bank EEMP,2024,PBL,3.5,12.5,0.9803921568627451,1.0416666666666667,2.0220588235294117,97.97794117647058
Lang Bank EEMP,2025,PBL,3.5,13,2.083333333333333,2.083333333333333,2.083333333333333,97.91666666666667
Lang Bank Red Hind FSA,2022,Annual,3.5,11.333333333333334,1.9607843137254832,0,1.9607843137254832,98.03921568627452
Lang Bank Red Hind FSA,2023,Annual,3.5,10.5,1.19047619047619,0,1.19047619047619,98.80952380952382
Lang Bank Red Hind FSA,2024,Annual,3.5,14.333333333333334,0,0,0,100
Lang Bank Red Hind FSA,2024,PBL,3.5,10.5,1.19047619047619,0,1.19047619047619,98.80952380952382
Lang Bank Red Hind FSA,2025,PBL,3.5,12.5,0,0,0,100
Magens Bay,2022,Annual,3.5,22.333333333333332,0,0,0,100
Magens Bay,2023,Annual,3.5,22.666666666666668,4.438545688545683,0.4761904761904766,4.9147361647361665,95.08526383526383
Magens Bay,2024,Annual,3.5,19.333333333333332,12.361111111111118,9.3849206349206291,20.773809523809522,79.22619047619048
Magens Bay,2024,PBL,3.5,21,0,0,0,100
Magens Bay,2025,PBL,3.5,16,1.1494252873563215,0,1.1494252873563215,98.85057471264369
Meri Shoal,2022,Annual,3.5,20.666666666666668,0,0,0,100
Meri Shoal,2023,Annual,3.5,17.166666666666668,3.269537480063798,0,3.269537480063798,96.7304625199362
Meri Shoal,2024,Annual,3.5,14.833333333333334,0,2.67094017094017,2.67094017094017,97.32905982905983
Meri Shoal,2024,PBL,3.5,15.166666666666666,0,0,0,100
Meri Shoal,2025,PBL,3.5,10.333333333333334,0,2.0833333333333335,2.0833333333333335,97.91666666666667
Mutton Snapper FSA,2022,Annual,3.5,8.333333333333334,0,0,0,100
Mutton Snapper FSA,2023,Annual,3.5,8.833333333333334,0,0,0,100
Mutton Snapper FSA,2024,Annual,3.5,10.666666666666666,1.85185185185185,0,1.85185185185185,98.14814814814815
Mutton Snapper FSA,2024,PBL,3.5,6.333333333333333,0,0,0,100
Mutton Snapper FSA,2025,PBL,3.6,12.6,0,0,0,100
Salt River Deep,2022,Annual,3.5,7.666666666666667,0,0,0,100
Salt River Deep,2023,Annual,3.5,7,5.55555555555555,0,5.55555555555555,94.44444444444446
Salt River Deep,2024,Annual,4,6.8,8,0,8,92
Salt River Deep,2024,PBL,3.5,5,0,0,0,100
Salt River Deep,2025,PBL,3.5,6.833333333333333,0,5.55555555555555,5.55555555555555,94.44444444444446
Salt River West,2022,Annual,3.5,12.833333333333334,1.3888888888888884,0,1.3888888888888884,98.61111111111111
Salt River West,2023,Annual,3.5,13,4.88053613053613,0,4.88053613053613,95.11946386946387
Salt River West,2024,Annual,3.5,11.5,3.688725490196078,0,3.688725490196078,96.31127450980392
Salt River West,2024,PBL,3.5,10.5,0,0,0,100
Salt River West,2025,PBL,3.5,10.833333333333334,0,0,0,100
Savana,2022,Annual,3.5,11.833333333333332,0,0,0,100
Savana,2023,Annual,3.5,26.5,1.6366612111292966,0,1.6366612111292966,98.3633387888707
Savana,2024,Annual,3.5,30.5,13.840439276485789,0.6291427929446133,14.081985170205595,85.91801482979442
Savana,2024,PBL,3.5,25.333333333333332,0,0,0,100
Savana,2025,PBL,3.5,21.666666666666664,0,0,0,100
Seahorse Cottage Shoal,2022,Annual,3.5,55.833333333333336,0,0,0,100
Seahorse Cottage Shoal,2023,Annual,3.5,57.16666666666667,12.135585531494748,1.115276906815154,13.250862438309891,86.74913756169012
Seahorse Cottage Shoal,2024,Annual,3.5,59,6.7956157317859525,1.2884160756501184,8.084031807436073,91.91596819256394
Seahorse Cottage Shoal,2024,PBL,3.5,46.166666666666664,0,0,0,100
Seahorse Cottage Shoal,2025,PBL,3.5,43.833333333333336,0,0.200803212851405,0.200803212851405,99.7991967871486
South Capella,2022,Annual,3.5,11.166666666666666,0,0,0,100
South Capella,2023,Annual,3.5,14.833333333333334,0.9259259259259267,0,0.9259259259259267,99.07407407407406
South Capella,2024,Annual,3.5,11.833333333333334,0,1.2820512820512815,1.2820512820512815,98.71794871794872
South Capella,2024,PBL,3.5,8.833333333333334,2.083333333333333,0,2.083333333333333,97.91666666666667
South Capella,2025,PBL,3.5,14.666666666666666,0,1.0416666666666665,1.0416666666666665,98.95833333333333
South Water,2022,Annual,3.5,7.5,0,0,0,100
South Water,2023,Annual,3.5,9.666666666666666,0,0,0,100
South Water,2024,Annual,3.5,15.5,7.151979565772667,0.5747126436781617,7.7266922094508335,92.27330779054917
South Water,2024,PBL,3.5,6.833333333333333,0,0,0,100
South Water,2025,PBL,3.5,13.5,0,0,0,100
Sprat Hole,2022,Annual,3.5,12.5,1.19047619047619,0,1.19047619047619,98.80952380952382
Sprat Hole,2023,Annual,3.5,14.166666666666666,3.365384615384615,0,3.365384615384615,96.63461538461539
Sprat Hole,2024,Annual,3.5,14.5,6.919191919191928,1.2820512820512815,8.20124320124321,91.79875679875678
Sprat Hole,2024,PBL,3.5,14.833333333333334,0,0.595238095238095,0.595238095238095,99.4047619047619
Sprat Hole,2025,PBL,3.5,17,0,0,0,100
St James,2022,Annual,3.5,10,0,0,0,100
St James,2023,Annual,3.5,16.333333333333332,5.1213893319156485,0,5.1213893319156485,94.87861066808435
St James,2024,Annual,3.5,17,0,0,0,100
St James,2024,PBL,3.5,11.333333333333334,0,0,0,100
St James,2025,PBL,3.5,19.5,0,0,0,100
